state,county,city,zip_code,total_population,total_population_2024,median_age,housing_units,median_gross_rent,median_home_value,median_household_income,white_population,black_population,american_indian_alaska_native_population,asian_population,hispanic_latino_population,foreign_born_population,total_moved_last_year,moved_from_different_state,moved_from_abroad,average_price,average_beds,average_baths,average_sqft,num_listings
CO,Weld County,Roggen,80652,207,342,32.9,119,-666666666,409700,-666666666,207,0,0,0,0,0,190,190,0,353972.36363636365,2.6666666666666665,2.333333333333333,2710.0,11
CO,Montezuma County,Lewis,81327,357,330,56.8,279,-666666666,294900,73182,345,0,0,0,0,0,357,337,20,799666.6666666666,3.0,3.0,1728.0,3
CO,Jefferson County,Buffalo Creek,80425,137,329,50.0,228,-666666666,416100,-666666666,134,2,0,0,1,0,137,133,1,,,,,0
CO,Jefferson County,Idledale,80453,277,329,33.0,108,-666666666,375000,-666666666,277,0,0,0,0,0,277,277,0,144000.0,,,,1
CO,Yuma County,Idalia,80735,316,323,41.6,188,789,214300,73295,313,0,0,0,72,48,314,240,2,,,,,0
CO,Kit Carson County,Seibert,80834,295,320,44.4,175,632,129200,38889,271,0,5,0,6,7,294,256,22,179000.0,,,,1
CO,Weld County,Carr,80612,268,309,59.4,142,-666666666,355400,88259,244,0,0,0,6,0,268,252,10,312963.63636363635,3.0,2.25,2161.75,11
CO,Baca County,Campo,81029,363,309,40.4,199,-666666666,54300,56250,341,0,2,0,21,0,356,281,59,,,,,0
CO,Washington County,Cope,80812,288,306,41.0,120,867,150000,38750,278,0,0,1,105,25,288,275,0,120000.0,1.0,1.0,1936.0,1
CO,Phillips County,Amherst,80721,477,304,22.6,120,-666666666,210000,87600,324,0,0,0,153,38,477,430,0,,,,,0
CO,Gunnison County,Almont,81210,283,301,64.9,659,-666666666,653200,130449,283,0,0,0,5,0,283,232,0,2111309.090909091,2.6,2.0,1760.4,11
CO,Lincoln County,Arriba,80804,300,297,41.5,194,388,150000,28889,295,0,0,0,20,5,300,288,3,274993.5,5.0,1.5,2639.5,2
CO,Baca County,Pritchett,81064,250,296,39.0,137,715,88000,51000,230,0,6,0,14,3,248,211,0,138000.0,2.0,2.0,2132.0,1
CO,Eagle County,Red Cliff,81649,281,292,36.2,156,1813,556300,56964,260,0,0,0,110,0,266,206,14,1140000.0,2.5,2.5,2432.0,2
CO,Sedgwick County,Sedgwick,80749,294,285,39.0,187,625,138300,49750,202,0,3,9,100,0,281,262,0,462500.0,1.5,1.5,970.5,2
CO,Yuma County,Joes,80822,223,283,63.2,129,968,164100,60278,223,0,0,0,2,0,220,192,18,335000.0,3.0,2.0,1812.0,2
CO,Kit Carson County,Vona,80861,216,265,45.0,122,725,250000,67188,214,0,0,0,35,3,214,190,8,142500.0,2.0,1.0,1624.0,2
CO,Huerfano County,Gardner,81040,201,263,65.1,419,-666666666,241000,-666666666,201,0,0,0,122,0,201,190,0,429070.6097560976,3.090909090909091,2.272727272727273,2139.0,41
CO,Saguache County,Villa Grove,81155,239,260,66.6,233,-666666666,341700,42500,225,0,14,0,0,0,239,196,40,795714.2857142857,3.0,1.6,1587.2,7
CO,Mesa County,Molina,81646,192,258,43.6,101,-666666666,373000,78846,192,0,0,0,0,0,192,122,49,,,,,0
CO,Kiowa County,Sheridan Lake,81071,244,252,28.4,111,795,210000,45938,236,0,2,0,27,2,240,203,0,,,,,0
CO,Douglas County,Louviers,80131,265,250,46.0,124,-666666666,289500,78125,198,10,13,0,75,0,265,258,0,,,,,0
CO,Weld County,Severance,80546,189,234,35.6,87,-666666666,328600,115132,169,0,20,0,34,0,169,169,0,,,,,0
CO,Las Animas County,Boncarbo,81024,244,233,62.3,188,-666666666,297600,-666666666,205,0,0,0,36,0,244,244,0,200198.2,3.0,1.75,1951.25,10
CO,Clear Creek County,Silver Plume,80476,199,231,45.8,191,874,508600,83047,190,0,0,5,0,0,199,187,0,877500.0,1.5,1.0,1346.0,4
CO,Weld County,New Raymer,80742,251,224,54.8,161,675,154200,57188,244,2,0,0,5,2,251,236,0,567700.0,3.0,1.5,1258.5,2
CO,Lincoln County,Karval,80823,215,211,47.5,117,532,-666666666,-666666666,214,0,0,0,0,0,207,186,21,244000.0,3.0,2.0,1456.0,1
